lsscsi 0.32-2
lua 5.5.0-2
lua51 5.1.5-13
lua54 5.4.8-6
luit 20250912-1
lv2 1.18.10-2
lvm2 2.03.41-1
lxsession 1:0.5.6-2
lynx 2.9.3-1
lz4 1:1.10.0-2
lzo 2.10-5
lzop 1.04-4
m4 1.4.21-2
mailcap 2.1.54-2
make 4.4.1-3
man-db 2.13.1-1
man-pages 6.18-1
mc 4.8.33-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
memtest86+ 7.20-2
mesa 1:26.1.1-2
mesa-demos 9.0.0-7
mjpegtools 2.2.1-4
mkinitcpio 41-4
mkinitcpio-archiso 73-1
mkinitcpio-busybox 1.36.1-1
mkinitcpio-nfs-utils 0.3-8
mkinitcpio-openswap 0.1.1-1
mobile-broadband-provider-info 20251101-1
modem-manager-gui 0.0.20-3
modemmanager 1.24.2-1
mousepad 0.7.0-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
mtdev 1.1.7-1
mtools 1:4.0.49-1
mtpfs 1.1-5
nano 9.0-1
nbd 3.27.1-4
ncurses 6.6-2
ndisc6 1.0.8-1
neon 0.37.1-1
net-snmp 5.9.5.2-1
net-tools 2.10-3
netctl 1.29-2
netpbm 10.86.49-3
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.56.1-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
networkmanager-pptp 1.2.12-7
networkmanager-vpn-plugin-openconnect 1.2.10-4
networkmanager-vpn-plugin-openvpn 1.12.5-1
networkmanager-vpn-plugin-pptp 1.2.12-7
networkmanager-vpn-plugin-vpnc 1.4.0-2
networkmanager-vpnc 1.4.0-2
nfs-utils 2.9.1-1
nfsidmap 2.9.1-1
nftables 1:1.1.6-3
nilfs-utils 2.3.0-1
ninja 1.13.2-3
nm-connection-editor 1.36.0-2
nmap 7.99-2
noto-fonts 1:2026.06.01-1
npth 1.8-1
nspr 4.39-1
nss 3.124-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-6
numactl 2.0.19-1
nvidia-open 610.43.02-1
nvidia-prime 1.0-6
nvidia-settings 610.43.02-1
nvidia-utils 610.43.02-2
nvme-cli 2.16-2
oath-toolkit 2.6.14-3
ocl-icd 2.3.4-1
oniguruma 6.9.10-1
open-vm-tools 6:13.1.0-1
openal 1.25.2-1
openbsd-netcat 1.238_1-1
openconnect 1:9.12-5
opencore-amr 0.1.6-2
openexr 3.4.12-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.27.3-1
openssh 10.3p1-1
openssl 3.6.2-2
openvpn 2.7.4-1
opus 1.6.1-1
orc 0.4.42-1
os-prober 1.84-1
ostree 2025.7-3
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260406-1
pahole 1:1.31-2
pam 1.7.2-2
pamac-aur 11.7.4-3
pambase 20250719-1
pango 1:1.57.1-1
pangomm 2.46.4-2
pangomm-2.48 2.56.1-1
parole 4.20.0-1
partclone 0.3.47-1
parted 3.7-1
partimage 0.6.9-16
patch 2.8-1
pavucontrol 1:6.2-1
pbzip2 1.1.13-5
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.5.0-1
perl 5.42.2-1
perl-class-inspector 1.36-10
perl-clone 0.50-1
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-file-sharedir 1.118-8
perl-html-parser 3.85-1
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.11-4
perl-http-daemon 6.17-1
perl-http-date 6.06-5
perl-http-message 7.01-2
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
perl-libwww 6.83-1
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-net-http 6.24-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.34-2
perl-www-robotrules 6.03-1
perl-xml-parser 2.59-1
perl-xml-writer 0.900-6
picom 13-2
pigz 2.8-2
pinentry 1.3.2-2
pipewire 1:1.6.6-1
pixman 0.46.4-1
pixz 1.0.7-5
pkcs11-helper 1.31.0-1
pkgconf 2.5.1-1
plasma-activities 6.6.5-1
plasma-framework5 5.116.0-2
plocate 1.1.24-1
polkit 127-3
polkit-gnome 0.105-12
polkit-qt5 0.201.1-1
polkit-qt6 0.201.1-1
poppler 26.05.0-1
poppler-data 0.4.12-2
poppler-glib 26.05.0-1
poppler-qt6 26.05.0-1
popt 1.19-2
portaudio 1:19.7.0-4
ppp 2.5.2-1
pptpclient 1.10.0-3
procps-ng 4.0.6-1
protobuf 34.1-1
psmisc 23.7-2
pulseaudio 17.0+r98+gb096704c0-1
pulseaudio-alsa 1:1.2.12-5
pulseaudio-bluetooth 17.0+r98+gb096704c0-1
pulseaudio-equalizer 17.0+r98+gb096704c0-1
pulseaudio-jack 17.0+r98+gb096704c0-1
pulseaudio-lirc 17.0+r98+gb096704c0-1
pulseaudio-zeroconf 17.0+r98+gb096704c0-1
pv 1.10.5-1
python 3.14.5-1
python-annotated-types 0.7.0-3
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-cairo 1.29.0-2
python-certifi 2026.05.20-1
python-cffi 2.0.0-2
python-charset-normalizer 3.4.7-1
python-configobj 5.0.9-6
python-cryptography 48.0.0-1
python-dbus 1.4.0-2
python-defusedxml 0.7.1-8
python-gobject 3.56.3-1
python-idna 3.17-1
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-jinja 1:3.1.6-3
python-jsonpatch 1.33-6
python-jsonpointer 3.1.1-1
python-jsonschema 4.26.0-1
python-jsonschema-specifications 2025.9.1-2
python-linkify-it-py 2.1.0-1
python-lxml 6.1.1-1
python-mako 1.3.11-1
python-markdown 3.10.2-1
python-markdown-it-py 4.0.0-2
python-markupsafe 3.0.3-1
python-mdurl 0.1.2-9
python-more-itertools 11.1.0-1
python-netifaces 0.11.0-9
python-oauthlib 3.3.1-2
python-orjson 3.11.9-1
python-packaging 26.2-1
python-pexpect 4.9.0-7
python-pkg_resources 81.0.0-1
python-platformdirs 4.10.0-1
python-psutil 7.2.2-1
python-ptyprocess 0.7.0-9
python-pycparser 3.00-1
python-pydantic 2.13.4-1
python-pydantic-core 3:2.46.4-1
python-pygments 2.20.0-1
python-pyparted 3.13.0-6
python-pyqt5 5.15.11-7
python-pyqt5-sip 12.18.0-1
python-pyserial 3.5-8
python-referencing 0.37.0-3
python-requests 2.34.2-1
python-rich 15.0.0-1
python-rpds-py 2026.5.1-1
python-setuptools 1:82.0.1-1
python-shtab 1.8.0-2
python-textual 8.2.7-1
python-typing-inspection 0.4.2-2
python-typing_extensions 4.15.0-3
python-uc-micro-py 2.0.0-1
python-urllib3 2.7.0-1
python-wheel 0.47.0-1
python-yaml 6.0.3-2
qca-qt5 2.3.10-7
qca-qt6 2.3.10-7
qemu-guest-agent 11.0.1-1
qrencode 4.1.1-4
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-graphicaleffects 5.15.19-1
qt5-multimedia 5.15.19+kde+r2-1
qt5-quickcontrols 5.15.19-1
qt5-quickcontrols2 5.15.19+kde+r5-1
qt5-speech 5.15.19+kde+r1-1
qt5-svg 5.15.19+kde+r5-1
qt5-tools 5.15.19+kde+r3-1
qt5-translations 5.15.19-1
qt5-wayland 5.15.19+kde+r55-1
qt5-x11extras 5.15.19-1
qt5-xmlpatterns 5.15.19-1
qt6-5compat 6.11.1-1
qt6-base 6.11.1-1
qt6-declarative 6.11.1-2
qt6-shadertools 6.11.1-1
qt6-svg 6.11.1-1
qt6-tools 6.11.1-1
qt6-translations 6.11.1-1
raptor 2.0.16-9
rav1e 0.8.1-2
readline 8.3.003-1
reflector 2023-5
reflector-simple 3.3-1
rhash 1.4.6-1
ristretto 0.14.0-1
rp-pppoe 4.0-5
rpcbind 1.2.8-1
rsync 3.4.3-1
rtkit 0.14-1
rtmpdump 1:2.6-2
rubberband 4.0.0-2
run-parts 5.23.2-1
rxvt-unicode-terminfo 9.31-9
s-nail 14.9.25-1
sbc 2.2-1
